id	image_link	additional_image_link	link	title	product_category	description	price	availability	brand
PAP2519	https://static.wixstatic.com/media/1799ca_3bd9e6914c9f46d8ae68edd876fc3ee1~mv2.jpg	https://static.wixstatic.com/media/1799ca_d7b7daa9598f4164b4a34474d9f9c445~mv2.jpg	https://www.artebarte.co.il/prints-posters	The Heart	Art Prints,Famous Artists,Portrait	The Heart	95.00 ILS	in stock	ArteBarte
PAP2520	https://static.wixstatic.com/media/1799ca_2676b27d15fe4b14a83095cd7740c196~mv2.jpg	https://static.wixstatic.com/media/1799ca_86525ec1992444179d389fa1940b7fb4~mv2.jpg	https://www.artebarte.co.il/prints-posters	Selbstbildnis	Art Prints,Famous Artists,First Slider,Portrait	Selbstbildnis	95.00 ILS	in stock	ArteBarte
PAP2521	https://static.wixstatic.com/media/1799ca_6fe4c1a7fc0a454e94415b98d09a6521~mv2.gif	https://static.wixstatic.com/media/1799ca_48e5bd0523d14f4f9d27ea58a8e3cf48~mv2.jpg	https://www.artebarte.co.il/prints-posters	Landscape at Collioure	Art Prints,Famous Artists,Portrait	Landscape at Collioure	95.00 ILS	in stock	ArteBarte
PAP2522	https://static.wixstatic.com/media/1799ca_3f68360019b24a3f9d6b806f2b7f5f38~mv2.jpg	https://static.wixstatic.com/media/1799ca_c64760dcf67341fbb55333bc598749f0~mv2.jpg	https://www.artebarte.co.il/prints-posters	Bright Colors Bauhaus	Art Prints,Bauhaus,Portrait	Bright Colors Bauhaus	95.00 ILS	in stock	ArteBarte
PAP2523	https://static.wixstatic.com/media/1799ca_0f435755c2f24f8394fa39c0528162f7~mv2.jpg	https://static.wixstatic.com/media/1799ca_d837d825ee0e450d8662441d322b4f31~mv2.jpg	https://www.artebarte.co.il/prints-posters	Text & Flowers	Art Prints,Black & White,First Slider,Illustrations,Portrait,Typography	Text & Flowers	95.00 ILS	in stock	ArteBarte
PAP2524	https://static.wixstatic.com/media/1799ca_324936ab126d4bfdb7d66980bf84ef95~mv2.jpg	https://static.wixstatic.com/media/1799ca_8ca72e6652114a4c8a33b27ddae57d28~mv2.jpg	https://www.artebarte.co.il/prints-posters	Seaweed Abstract	Abstract,Art Prints,Portrait	Seaweed Abstract	95.00 ILS	in stock	ArteBarte
PAP2525	https://static.wixstatic.com/media/1799ca_283f9bdf264e4872b7b5b9cee3e7d571~mv2.jpg	https://static.wixstatic.com/media/1799ca_d299373048c842f8997cddd79509644d~mv2.jpg	https://www.artebarte.co.il/prints-posters	Rocks Abstract	Abstract,Art Prints,Portrait,Second Slider	Rocks Abstract	95.00 ILS	in stock	ArteBarte
PAP2526	https://static.wixstatic.com/media/1799ca_26dcfca28a1e4ab79f39be0ca82a3f9d~mv2.gif	https://static.wixstatic.com/media/1799ca_023e4d8abd4542d5a53629d1676c6b05~mv2.gif	https://www.artebarte.co.il/prints-posters	Vintage palm tree #01	Art Prints,Botanical,Painting,Portrait,Vintage	Vintage palm tree #01	95.00 ILS	in stock	ArteBarte
PAP2527	https://static.wixstatic.com/media/1799ca_0416ac89d6244c6a8ab7953c99928329~mv2.gif	https://static.wixstatic.com/media/1799ca_5cd717631d7043f0ade7319d7c3d230b~mv2.gif	https://www.artebarte.co.il/prints-posters	Vintage palm tree #02	Art Prints,Botanical,Painting,Portrait,Second Slider,Vintage	Vintage palm tree #02	95.00 ILS	in stock	ArteBarte
PAP2529	https://static.wixstatic.com/media/1799ca_134cb999a0d34fbcbfc46fdcc83955a7~mv2.jpg	https://static.wixstatic.com/media/1799ca_19328253262b4177bbe7baeb8e381835~mv2.jpg	https://www.artebarte.co.il/prints-posters	Bauhaus Stairway	Art Prints,Bauhaus,Dopamine,Famous Artists,First Slider,Painting,Portrait,Vintage	Bauhaus Stairway	95.00 ILS	in stock	ArteBarte
PAP2530	https://static.wixstatic.com/media/1799ca_1193134456a54ace8ee5dbf0fbc16a05~mv2.jpg	https://static.wixstatic.com/media/1799ca_b46b3fd237b542ff9ef9ef14ca952ff4~mv2.jpg	https://www.artebarte.co.il/prints-posters	Red Lobster	Art Prints,Illustrations,Painting,Portrait,Red	Red Lobster	95.00 ILS	in stock	ArteBarte
