type	productId	name	mainImageUrl	lifestyleUrl	moreImages	video/s	category	collection	artist	artistName	color	colorStory	single/bundle	quantity	keywords	room	ribbon	bio	emotionalEnergy	scale	meaning	downloadLinkUrl	originalPrice	discount	newPrice
Product	1000036	Sunshine	1799ca_f25bd6d91c8c4b948ce7e3e03a30695d~mv2.jpg	1799ca_e0ad7ffbe5824864b14aff017b9e24df~mv2.jpg			Children;Kids																19.95	55%	8.97
Product	1000037	Kids Flowers II	1799ca_e752e7f43dd140a19fee6f499d73f64c~mv2.jpg	1799ca_e06c2fc4366b45e4aa9cbc265ae18e66~mv2.jpg			Children;Kids																19.95	55%	8.97
Product	1000038	To the moon...	1799ca_10cfe8237f5e4b92a79eb41f8219d47a~mv2.jpg	1799ca_df6e472e623445c2a2048ca89d33ca64~mv2.jpg			Children;Kids																19.95	60%	7.98
Product	1000039	Abstract Lines	1799ca_3e924a37d17847149b30d11e3fbac04a~mv2.jpg	1799ca_df0fdde3fd0c45a88e442bcf2d2b7923~mv2.jpg			Bestsellers;Prints & Posters;Beige																19.95	60%	7.98
Product	1000040	Three Pears	1799ca_efd13a8044844e1d9da483b5f8586465~mv2.jpg	1799ca_de5ebb4aac6149e0938da2bf9177b737~mv2.jpg			Paintings;Famous Painters;Green;Prints & Posters;Paul Cézanne																19.95	75%	4.98
Product	1000041	Crowded Beach	1799ca_da54a8752d434c1d9c0189e1bf13340d~mv2.jpg	1799ca_dce772b6aa524547b90d889074d6e5d7~mv2.jpg			Nature;New In;Photography;Prints & Posters;Bestsellers;Top 18																19.95	70%	5.98
Product	1000042	Llama	1799ca_949e43b6e61d42d3aa3024f71e0255e8~mv2.jpg	1799ca_db4619430f1f479da20e5e2e2de20800~mv2.jpg			Children;Kids																19.95	75%	4.98
Product	1000043	Moet In The Bed	1799ca_c5e2afbef002406390d5e1fa4de3206a~mv2.jpg	1799ca_daef2da74e4c4df4b74f3bb0c5b3c06f~mv2.jpg			Black and White;Photography;Prints & Posters;Bestsellers																19.95	70%	5.98
Product	1000044	Rocks Abstract 001	1799ca_e804f213a419450cb40a3e0ea8351e55~mv2.jpg	1799ca_da03b74e30504b959f4f1b57fee3e6f1~mv2.jpg			New Designs;Rocks Abstract;Abstract																19.95	60%	7.98
Product	1000045	Two Cats	1799ca_8d922ad873a445eab9c0bf04dc5b10b5~mv2.jpg	1799ca_d9d9288a584d49cb864c2a2d92a9ea98~mv2.jpg			Children;Kids																19.95	55%	8.97
Product	1000046	Horse	1799ca_4fe6c603226c4a5289d9084af6923c4d~mv2.jpg	1799ca_d9af5193f74343dd878760f1ec0ef4a6~mv2.jpg			Children;Kids																19.95	80%	3.99
Product	1000047	Pink Map	1799ca_79c54173067549eaaf3a6af4cd6ddb30~mv2.jpg	1799ca_d8afd32a3892428188e4999b48bb4ade~mv2.jpg			Children;Kids																19.95	75%	4.98
Product	1000048	Bauhaus 09	1799ca_03213fdf4a254aaebcc06e6ff3ba731b~mv2.jpg	1799ca_d7e0a945d1fd4eaa97163cb9ba2429be~mv2.jpg			Bauhaus																19.95	80%	3.99
Product	1000049	Cause I'm too messy...	1799ca_df74a8aa7f6c431d859e1d264830ce51~mv2.jpg	1799ca_d7a16577dd534d7d9d4b7b1f1c6721e3~mv2.jpg			Typography																19.95	55%	8.97
Product	1000050	Squares	1799ca_ded5e0e665d443979042a16aaa9de7bd~mv2.jpg	1799ca_d6a73c921c5545ec91dd0b2a5229a02c~mv2.jpg			Paintings;Illustrations;Prints & Posters;Abstract																19.95	50%	9.97
Product	1000051	Red Chair	1799ca_c8d1e3828587417ea2faf21ede204b4b~mv2.jpg	1799ca_d658e5364a97478f9700cd67466ecd13~mv2.jpg			Pop Art;Paintings;Red;Featured Artists;Prints & Posters																19.95	60%	7.98
Product	1000052	Olive Orchard	1799ca_c4df1ef5cfea41b9a3d65584aba850f9~mv2.png	1799ca_d5ea1aa4132f4b86b72597aaf1b05a8a~mv2.png			Prints & Posters;Paintings;Famous Painters;Vincent van Gogh																19.95	75%	4.98
Product	1000053	Perfection	1799ca_dc73a5321b9c46359274c087398c0a76~mv2.jpg	1799ca_d5b35bbcc3b44545ad42b56b2d7860c5~mv2.jpg			Typography																19.95	60%	7.98
Product	1000054	The Large Cow	1799ca_1b6be96bb2b74c2a94b22d377f0161e3~mv2.jpg	1799ca_d4712ede3ada457ca7e7755f38461ee6~mv2.jpg			Famous Painters					Ernst Ludwig Kirchner											19.95	60%	7.98
Product	1000055	Bauhaus 21	1799ca_b36fac15147c4a98a1d8a8772e8728af~mv2.jpg	1799ca_d45bb4e1623c4d16b61de8633807d865~mv2.jpg			Bauhaus																19.95	70%	5.98
Product	1000056	Lines of Moments	1799ca_e969fab3c8384733ac3c60a289169d4c~mv2.jpg	1799ca_d3f536f717774bd298d141af3e12d812~mv2.jpg			Paintings;Line Art;Featured Artists;Prints & Posters;Beige																19.95	80%	3.99
Product	1000057	The Ladies of Avignon II	1799ca_c752e1afe8064b049bb2ec83c3b6a59f~mv2.jpg	1799ca_d3edefe2eb264b7c8340a9d4c104d8ed~mv2.jpg			Paintings;Bedroom;Famous Painters;Pink;Red;Prints & Posters;Pablo Picasso;Bestsellers																19.95	75%	4.98
Product	1000058	Red Papiers Découpés II	1799ca_de8402786cab4c69adf8778d52e430ac~mv2.jpg	1799ca_d3b563080eb845aea12b38b271e14224~mv2.jpg			Prints & Posters;Henri Matisse;H. Matisse Collection																19.95	60%	7.98
Product	1000059	hi	1799ca_ee2b946a74a3432d8d488d50afcb58d1~mv2.jpg	1799ca_d35eeeb68a35465db20fdda5fa487f6e~mv2.jpg			Illustrations																19.95	70%	5.98
Product	1000060	Color Mix	1799ca_0028b27c82fa45f4bfec8428dfe4f103~mv2.jpg	1799ca_d29c739bf04d4508a1d1789ccdc5eae4~mv2.jpg			Children;Kids																19.95	50%	9.97
Product	1000061	Contrast Curves	1799ca_d5082dc6313b490e9fde0c207b40e2e9~mv2.jpg	1799ca_d22c941ec8854b37ad893af6d84fb09c~mv2.jpg			New Designs;Prints & Posters;Wabi Sabi Collection																19.95	55%	8.97
Product	1000062	Two Goldfish	1799ca_defbd1703ea64757a266b6327fc5b998~mv2.jpg	1799ca_d13c83ae7b55479999550e4df14c248e~mv2.jpg			Paintings;Famous Painters;Prints & Posters;Ohara Koson																19.95	60%	7.98
Product	1000063	Lake Braies II	1799ca_f76928e2f85a46b8b1b7a4b10c76adfb~mv2.jpg	1799ca_ce1abdbb784d4bb6b5cfc70edef0a80b~mv2.jpg			Photography																19.95	55%	8.97
Product	1000064	Vase	1799ca_c8196d92715d422eaa90052d63167afc~mv2.jpg	1799ca_cd2c6bec05774884816b45c41ad45a2a~mv2.jpg			Prints & Posters;Paintings;Pink																19.95	60%	7.98
Product	1000065	Bauhaus 18	1799ca_720d4a86ecc14508a6677bf718535ad3~mv2.jpg	1799ca_cc73d8e4c1184ef7a3c200e2c6d5fe95~mv2.jpg			Bauhaus																19.95	75%	4.98
Product	1000066	Larkspur	1799ca_d5243fd64d9740fda6c4e2d6c9d285a4~mv2.jpg	1799ca_ca8869210bde4bc7a5b27592cb4ebd4f~mv2.jpg			Famous Painters					William Morris											19.95	70%	5.98
