fieldType,name,productImageUrl,sku,ribbon,price,visible,discountMode,discountValue,cost,digital file,collection,category,color,fieldType
Product,Heaven on bed (heaven),1799ca_9f138f80ff014e62be2c6848edac4e0f~mv2.jpg,,,,FALSE,PERCENT,,,,,,,
Product,Blue Nude II,1799ca_c63e41c7aae34141b7c583488de86919~mv2.jpg;1799ca_8e61a45535634afe95948059a8f2055b~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Gallery No. 57,1799ca_29d838606c89401fa1eed286babebc39~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Two birds and a shadow,1799ca_b53c0903501144a7a31f7f9988167f50~mv2.jpg;1799ca_b816f3892c664deaa95d00bc62ced458~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Net of secrets,1799ca_c431b82bc16349bcbf34bb3b00fe478f~mv2.jpg;1799ca_668e1daab9e14a0a98959ecc38f8c3e3~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Lines of Moments,1799ca_e969fab3c8384733ac3c60a289169d4c~mv2.jpg;1799ca_d3f536f717774bd298d141af3e12d812~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Chromatic Dream,1799ca_abeffce478b247e589bf85090f9d40ea~mv2.jpg;1799ca_96ce52376a8e49a6bee06a7cfc008d76~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bird of Jove,1799ca_8b8fbf7a07874240adc6824d9fd682bb~mv2.jpg;1799ca_25252430977b4275a056f7a7d29b6d1b~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Infinite Abstractions II,1799ca_fce0553633c3456281222d7a7a1dade8~mv2.jpg;1799ca_3558e6dd98b54dd78022bd95effa4646~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Chanel Yacht Club,1799ca_c1d45068b8814bbe9365a1ae777d4e5e~mv2.jpg;1799ca_70b3a04b0be84d14a472b20b942a9389~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Falling Petal,1799ca_a4ccc93a06e34ac697d63cd9c9ed8516~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Interwoven Forms,1799ca_75529ed4ea9e45428e1da8671e8769ce~mv2.png,,,,TRUE,PERCENT,,,,,,,
Product,The Unseen Face,1799ca_79356d14d90342cba494d683eb6ee6c0~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Endless Lines,1799ca_fe9d27120cc14d41a1be318aaf3bddc4~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,From the wild with love,1799ca_e8ddfc34c9624ac9bcd4b1530b0bb0e9~mv2.png,,,,TRUE,PERCENT,,,,,,,
Product,Stones of Stillness,1799ca_c00bc7bad42d4f30830e7ba32e7b98cd~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Daisy Poem,1799ca_07cb62ce9eeb46b7a6b3cf988b655b79~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Autumn,1799ca_37e775800a0e4b66952b9048ec6ce757~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Islands of the Forgotten,1799ca_ab9462eea1024b0698b487016da44569~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Seeds of Connection,1799ca_860296a8c88043879349b6512f9489cc~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Edge of Power,1799ca_a1bc7f3f40ff40eaa0be28bace478ffd~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Meadow’s Luck,1799ca_885bbc9ce1cf465a9546ef010f264d7c~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Beach Vibes 043,1799ca_a68b0dd14a6d4ac68a1eb7c25a274e0b~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Beach Vibes 042,1799ca_93b327a15da54bd88e1d68a1d78639d9~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Beach Vibes 041,1799ca_51b0e81ec8bf4b36903ce967a62629a3~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Beach Vibes 040,1799ca_e74ad41976dd495e93bd116c97eb69a3~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,How lucky are we,1799ca_470690cad4ad47fa8c05dc1626fc0b92~mv2.jpg;1799ca_56f2815f8ea0464fabf9822e8036f717~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Love you' bye.,1799ca_3c0d58cefbbb4f1f93d05e47054f84a3~mv2.jpg;1799ca_5df0c8b8f9e845a0bc996495b3a7cb4f~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,The open Past,1799ca_123566303c7d45ef834713144373662d~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Colorful Currents I,1799ca_242873111c6f4c54a4d26395b541a33a~mv2.jpg;1799ca_a0545e4047914e409517b425d34f4ede~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Colorful Palette,1799ca_265aff2d19964c67bb2796f9da5e5066~mv2.jpg;1799ca_26f0a509246b4976a920e98a47da2af7~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Vase line art,1799ca_9e788d98eaca4f25a21480d98aa8a698~mv2.jpg;1799ca_4bb8a835f94b4092a658944162790f42~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,"It's not hard, it's just new",1799ca_757941deb4934feaabf68f8e0ae9ecdc~mv2.jpg;1799ca_76f7d6b31ef14dda81bc4da1857feaf9~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bauhaus bicycle II,1799ca_28645f73a55f4442b5842edfaa920edd~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Drinking wine feeling fine,1799ca_cd89cedeb5674edfa95e45b0229dd4ed~mv2.jpg;1799ca_a5abf55a0064428185f2c267e3142c78~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Orange & Yellow,1799ca_5face1824f4b49fab2db65825e5ca532~mv2.jpg;1799ca_e653d38e99ee4aed95b333e93d97b832~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Dark & Sexy,1799ca_350f703595ed45e58d67366049d6ab23~mv2.jpg;1799ca_7dc8b6f9cf5845849e23a5b6fd3fee46~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bluish Abstract,1799ca_8dbf526b4e574064befe5257835340c1~mv2.jpg;1799ca_7c0c5adcd4644921b10771ffedaac5cc~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Understatement,1799ca_5cc954b45c3d4a21b8f0b280d7b7345e~mv2.jpg;1799ca_0f30a025bc574f188fdaa4e940af2e5a~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Don't mess with,1799ca_8620bad8cfaa47fa95a8631210bea557~mv2.jpg;1799ca_8495c9ecc45043219b91058855aeeb6b~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Dobermann by Dior,1799ca_0769fe1a7dd649198ecdd05b35535038~mv2.jpg;1799ca_6f323a1be9c64d0b887747469915bb17~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Bathroom Magazine,1799ca_5815bb552023435f9e85e3417080e181~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Coffee Time,1799ca_f41a91e2b4dd43838a7827d4a7f74162~mv2.jpg;1799ca_fc6ede358fde4f7987103b45b117d858~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Gallery No. 60,1799ca_654f4e6623a5446983978ed6e464187d~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Minimal Forms II,1799ca_bdf9ba26bb6c40c2982b22093141f5fa~mv2.jpg;1799ca_f3ad294171dc4eb08bfe6f52cd36a391~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
Product,Minimal Forms I,1799ca_6c2e0b41aba14f0099454216d96701be~mv2.jpg;1799ca_f3ad294171dc4eb08bfe6f52cd36a391~mv2.jpg,,,,TRUE,PERCENT,,,,,,,
